Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Year,Metadata.Genres,Mean_length_completionist,Mean_length_main_story
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,TRUE,1,TRUE,TRUE,Sony,TRUE,81,0.86,16.95,Sony PSP,E,2006,Action,0,0
Madden NFL 07,TRUE,1,TRUE,TRUE,EA,TRUE,78,0.83,9.95,Sony PSP,E,2006,Sports,0,0
Monster 4x4: World Circuit,TRUE,4,TRUE,TRUE,Ubisoft,TRUE,51,0.82,12.95,Nintendo Wii,E,2006,Racing,0,0
Kirby: Squeak Squad,TRUE,1,TRUE,TRUE,Nintendo,TRUE,71,0.82,27.95,Nintendo DS,T,2006,Action,6.6,4.216666667
Pokmon Battle Revolution,TRUE,4,TRUE,TRUE,Nintendo,TRUE,53,0.81,39.95,Nintendo Wii,T,2006,Action,65.71666667,13.01666667
Medal of Honor: Heroes,TRUE,1,TRUE,TRUE,EA,TRUE,71,0.81,14.95,Sony PSP,E,2006,Action,0,4.95
Tekken: Dark Resurrection,TRUE,1,TRUE,TRUE,"Namco,Sony",TRUE,88,0.81,17.95,Sony PSP,E,2006,Action,35.08333333,2.366666667
Need for Speed: Carbon,TRUE,2,TRUE,TRUE,EA,TRUE,77,0.78,16.95,X360,E,2006,Racing,22.66666667,12.61666667
Mario vs. Donkey Kong 2: March of the Minis,TRUE,1,TRUE,TRUE,Nintendo,TRUE,76,0.77,27.95,Nintendo DS,T,2006,Action,0,3.883333333
Sonic Rivals,TRUE,1,TRUE,TRUE,Sega,TRUE,64,0.76,17.95,Sony PSP,T,2006,Action,20,6.15
NCAA Football 07,TRUE,2,TRUE,TRUE,EA,TRUE,79,0.7,4.95,X360,E,2006,Sports,0,0
Mortal Kombat: Unchained,TRUE,2,TRUE,TRUE,Midway,TRUE,70,0.67,17.95,Sony PSP,E,2006,Action,45,3.066666667
Tom Clancy's Splinter Cell: Double Agent,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,85,0.67,17.95,X360,E,2006,Action,17.36666667,11.61666667
Tetris DS,TRUE,1,TRUE,TRUE,Nintendo,TRUE,84,0.66,17.95,Nintendo DS,M,2006,Strategy,33.5,16.75
LEGO Star Wars II: The Original Trilogy,TRUE,2,TRUE,TRUE,,TRUE,83,0.61,17.95,Sony PSP,T,2006,Action,27.85,11.25
Red Steel,TRUE,4,TRUE,TRUE,Ubisoft,TRUE,63,0.58,14.95,Nintendo Wii,T,2006,Action,0,8.6
Metroid Prime: Hunters,TRUE,1,TRUE,TRUE,Nintendo,TRUE,85,0.58,27.95,Nintendo DS,E,2006,Action,15.25,8.8
LEGO Star Wars II: The Original Trilogy,TRUE,2,TRUE,TRUE,,TRUE,81,0.57,14.95,X360,E,2006,Action,27.85,11.25
NBA 2K7 ,TRUE,1,TRUE,TRUE,2K,TRUE,84,0.56,4.95,X360,E,2006,Sports,0,8.183333333
SEGA Genesis Collection,TRUE,2,TRUE,TRUE,Sega,TRUE,82,0.55,17.95,Sony PSP,T,2006,Action,0,0
Call of Duty 3,TRUE,1,TRUE,TRUE,Activision,TRUE,80,0.52,19.95,PlayStation 3,T,2006,Action,9.8,8.3
NBA Live 07,TRUE,1,TRUE,TRUE,EA,TRUE,64,0.51,7.95,Sony PSP,E,2006,Sports,0,0
Madden NFL 07,TRUE,2,TRUE,TRUE,EA,TRUE,76,0.49,6.95,PlayStation 3,T,2006,Sports,0,0
SpongeBob SquarePants: The Yellow Avenger,TRUE,1,TRUE,TRUE,THQ,TRUE,48,0.49,12.95,Sony PSP,T,2006,Action,15.7,8
Madden NFL 07,TRUE,4,TRUE,TRUE,EA,TRUE,81,0.48,9.95,Nintendo Wii,E,2006,Sports,0,0
Fight Night Round 3,TRUE,2,TRUE,TRUE,EA,TRUE,74,0.48,16.95,Sony PSP,T,2006,Action,10.58333333,11.03333333
Need for Speed: Carbon,TRUE,2,TRUE,TRUE,EA,TRUE,75,0.47,17.95,PlayStation 3,T,2006,Racing,22.66666667,12.61666667
Need for Speed: Carbon,TRUE,2,TRUE,TRUE,EA,TRUE,67,0.47,17.95,Nintendo Wii,M,2006,Racing,22.66666667,12.61666667
WWE SmackDown vs. Raw 2007,TRUE,4,TRUE,TRUE,THQ,TRUE,81,0.45,12.95,X360,E,2006,Sports,57.6,8.75
Tiger Woods PGA Tour 07,TRUE,1,TRUE,TRUE,EA,TRUE,80,0.45,9.95,X360,T,2006,Sports,0,10
Viva Pi$?ata,TRUE,4,TRUE,TRUE,Microsoft,TRUE,84,0.44,16.95,X360,E,2006,Simulation,52.38333333,18
SpongeBob Squarepants: Creature from the Krusty Krab,TRUE,1,TRUE,TRUE,THQ,TRUE,57,0.44,14.95,Nintendo Wii,T,2006,Action,7.75,5.883333333
Tony Hawk's Project 8,TRUE,2,TRUE,TRUE,Activision,TRUE,68,0.42,17.95,Sony PSP,M,2006,Sports,0,16.43333333
Tony Hawk's Project 8,TRUE,2,TRUE,TRUE,Activision,TRUE,81,0.42,16.95,X360,E,2006,Sports,0,16.43333333
NBA LIVE 07 ,TRUE,1,TRUE,TRUE,EA,TRUE,59,0.42,4.95,X360,T,2006,Sports,0,0
Excite Truck,TRUE,2,TRUE,TRUE,Nintendo,TRUE,72,0.4,19.95,Nintendo Wii,M,2006,Racing,24.33333333,7
Harvest Moon DS,TRUE,1,TRUE,TRUE,,TRUE,67,0.4,17.95,Nintendo DS,T,2006,Role-Playing,75,44.06666667
Star Fox Command,TRUE,1,TRUE,TRUE,Nintendo,TRUE,76,0.39,14.95,Nintendo DS,T,2006,Action,0,3.316666667
Metal Gear Solid: Portable Ops,TRUE,1,TRUE,TRUE,Konami,TRUE,87,0.39,17.95,Sony PSP,T,2006,Action,30,11.68333333
Marvel Ultimate Alliance,TRUE,4,TRUE,TRUE,Activision,TRUE,73,0.38,17.95,Nintendo Wii,M,2006,Action,25.38333333,12.86666667
Blazing Angels: Squadrons of WWII,TRUE,2,TRUE,TRUE,Ubisoft,TRUE,66,0.37,16.95,X360,E,2006,Action,0,0
Major League Baseball 2K6,TRUE,2,TRUE,TRUE,2K,TRUE,66,0.37,4.95,X360,T,2006,Sports,7.65,0
NCAA Football 07,TRUE,1,TRUE,TRUE,EA,TRUE,75,0.36,9.95,Sony PSP,T,2006,Sports,0,0
MLB 06: The Show,TRUE,2,TRUE,TRUE,Sony,TRUE,83,0.35,9.95,Sony PSP,T,2006,Sports,0,0
Blazing Angels: Squadrons of WWII,TRUE,2,TRUE,TRUE,Ubisoft,TRUE,67,0.35,16.95,PlayStation 3,T,2006,Action,0,0
WWE SmackDown vs. Raw 2007,TRUE,4,TRUE,TRUE,THQ,TRUE,78,0.34,14.95,Sony PSP,T,2006,Sports,57.6,8.75
Rune Factory: A Fantasy Harvest Moon,TRUE,1,TRUE,TRUE,,TRUE,78,0.34,24.95,Nintendo DS,T,2006,Role-Playing,38,0
Marvel Ultimate Alliance,TRUE,1,TRUE,TRUE,Activision,TRUE,81,0.34,22.95,Sony PSP,E,2006,Action,25.38333333,12.86666667
Marvel Ultimate Alliance,TRUE,4,TRUE,TRUE,Activision,TRUE,78,0.33,24.95,PlayStation 3,M,2006,Action,25.38333333,12.86666667
Tiger Woods PGA Tour 07,TRUE,4,TRUE,TRUE,EA,TRUE,81,0.32,14.95,PlayStation 3,E,2006,Sports,0,10
Ace Combat X: Skies of Deception,TRUE,1,TRUE,TRUE,Namco,TRUE,75,0.32,22.95,Sony PSP,E,2006,Action,12.5,4.183333333
Killzone: Liberation,TRUE,1,TRUE,TRUE,Sony,TRUE,77,0.32,16.95,Sony PSP,M,2006,Action,9.533333333,7.583333333
F.E.A.R.: First Encounter Assault Recon,TRUE,1,TRUE,TRUE,,TRUE,85,0.32,17.95,X360,E,2006,Action,11.9,8.583333333
NBA 2K7,TRUE,7,TRUE,TRUE,2K,TRUE,80,0.31,7.95,PlayStation 3,E,2006,Sports,0,8.183333333
Tony Hawk's Project 8,TRUE,2,TRUE,TRUE,Activision,TRUE,76,0.3,14.95,PlayStation 3,T,2006,Sports,0,16.43333333
Avatar: The Last Airbender,TRUE,1,TRUE,TRUE,THQ,TRUE,64,0.3,17.95,Nintendo DS,E,2006,Action,4.066666667,5.333333333
Castlevania: Portrait of Ruin,TRUE,1,TRUE,TRUE,Konami,TRUE,85,0.3,17.95,Nintendo DS,M,2006,Action,23.13333333,11.1
Hitman: Blood Money,TRUE,1,TRUE,TRUE,Eidos,TRUE,82,0.29,22.95,X360,E,2006,Action,19.33333333,11.81666667
Rockstar Games presents Table Tennis,TRUE,2,TRUE,TRUE,Rockstar,TRUE,81,0.28,9.95,X360,M,2006,Sports,0,6
Trauma Center: Second Opinion,TRUE,1,TRUE,TRUE,Nintendo,TRUE,80,0.28,17.95,Nintendo Wii,T,2006,Action,16,8.683333333
Tenchu Z,TRUE,1,TRUE,TRUE,Microsoft,TRUE,56,0.28,14.95,X360,E,2006,Action,59,20.81666667
Elite Beat Agents,TRUE,1,TRUE,TRUE,Nintendo,TRUE,87,0.27,9.95,Nintendo DS,M,2006,Action,30.45,4.15
Street Fighter Alpha 3 MAX,TRUE,1,TRUE,TRUE,Capcom,TRUE,80,0.27,14.95,Sony PSP,M,2006,Action,0,2
Blue Dragon,TRUE,1,TRUE,TRUE,Microsoft,TRUE,79,0.27,14.95,X360,T,2006,Role-Playing,99.13333333,44.5
The Lord of the Rings: The Battle for Middle Ea...,TRUE,1,TRUE,TRUE,EA,TRUE,79,0.27,19.95,X360,T,2006,Strategy,27.85,14.71666667
Prey,TRUE,1,TRUE,TRUE,2K,TRUE,79,0.27,14.95,X360,T,2006,Action,12.83333333,7.5
Over the Hedge,TRUE,1,TRUE,TRUE,Activision,TRUE,71,0.26,16.95,Nintendo DS,E,2006,Adventure,15,2
Capcom Classics Collection Reloaded,TRUE,1,TRUE,TRUE,Capcom,TRUE,75,0.26,17.95,Sony PSP,T,2006,Action,0,0
Pirates of the Caribbean: Dead Man's Chest,TRUE,1,TRUE,TRUE,,TRUE,52,0.26,14.95,Sony PSP,T,2006,Action,3.75,2.083333333
NHL 07 ,TRUE,1,TRUE,TRUE,EA,TRUE,79,0.26,5.95,X360,T,2006,Sports,8,10
Monster Hunter Freedom,TRUE,1,TRUE,TRUE,Capcom,TRUE,71,0.25,12.95,Sony PSP,E,2006,Action,683.1333333,60
Chromehounds,TRUE,1,TRUE,TRUE,Sega,TRUE,71,0.25,14.95,X360,T,2006,Action,72,10
Test Drive Unlimited,TRUE,1,TRUE,TRUE,Atari,TRUE,82,0.25,17.95,X360,T,2006,Racing,112.6666667,28.08333333
Dragon Ball Z: Budokai Tenkaichi 2,TRUE,2,TRUE,TRUE,Atari,TRUE,72,0.24,14.95,Nintendo Wii,E,2006,Action,28.88333333,11.28333333
Dragon Quest Monsters: Joker,TRUE,1,TRUE,TRUE,SquareEnix,TRUE,75,0.24,14.95,Nintendo DS,T,2006,Role-Playing,63.63333333,34.9
Pirates of the Caribbean: Dead Man's Chest,TRUE,1,TRUE,TRUE,,TRUE,63,0.24,11.95,Nintendo DS,E,2006,Action,3.75,2.083333333
NFL Street 3,TRUE,1,TRUE,TRUE,EA,TRUE,68,0.24,14.95,Sony PSP,T,2006,Action,0,0
Syphon Filter: Dark Mirror,TRUE,1,TRUE,TRUE,Sony,TRUE,87,0.24,12.95,Sony PSP,M,2006,Action,15,6.85
NBA 07,TRUE,4,TRUE,TRUE,Sony,TRUE,63,0.23,6.95,PlayStation 3,T,2006,Sports,0,0
Ridge Racer 7,TRUE,2,TRUE,TRUE,"Namco,Sony",TRUE,78,0.23,19.95,PlayStation 3,E,2006,Racing,50,10
The Outfit,TRUE,2,TRUE,TRUE,THQ,TRUE,70,0.23,14.95,X360,E,2006,Action,0,8
Elebits,TRUE,4,TRUE,TRUE,Konami,TRUE,75,0.22,14.95,Nintendo Wii,T,2006,Action,0,8.016666667
Tony Hawk's Downhill Jam,TRUE,1,TRUE,TRUE,Activision,TRUE,76,0.22,14.95,Nintendo DS,T,2006,Racing,0,0
The Sims 2: Pets,TRUE,1,TRUE,TRUE,EA,TRUE,57,0.21,17.95,Sony PSP,T,2006,Simulation,0,0
Tiger Woods PGA Tour 07,TRUE,1,TRUE,TRUE,EA,TRUE,78,0.21,12.95,Sony PSP,E,2006,Sports,0,10
Thrillville,TRUE,1,TRUE,TRUE,Atari,TRUE,72,0.2,14.95,Sony PSP,E,2006,Simulation,0,0
The Godfather: The Game,TRUE,1,TRUE,TRUE,EA,TRUE,77,0.2,17.95,X360,T,2006,Action,27.56666667,12.93333333
Rampage: Total Destruction,TRUE,4,TRUE,TRUE,Midway,TRUE,46,0.19,16.95,Nintendo Wii,E,2006,Action,0,5
College Hoops 2K7,TRUE,4,TRUE,TRUE,2K,TRUE,82,0.19,6.95,X360,T,2006,Sports,0,0
Far Cry: Instincts - Predator,TRUE,4,TRUE,TRUE,Ubisoft,TRUE,78,0.19,17.95,X360,E,2006,Action,20,15.73333333
Full Auto,TRUE,2,TRUE,TRUE,Sega,TRUE,70,0.19,16.95,X360,E,2006,Action,0,5
Age of Empires: The Age of Kings,TRUE,1,TRUE,TRUE,,TRUE,80,0.19,17.95,Nintendo DS,T,2006,Strategy,62.41666667,46.15
Need for Speed: Carbon - Own the City,TRUE,1,TRUE,TRUE,EA,TRUE,70,0.19,14.95,Nintendo DS,T,2006,Action,20.35,15.71666667
Brothers in Arms: D-Day,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,65,0.19,6.95,Sony PSP,T,2006,Action,0,8
Family Guy Video Game!,TRUE,1,TRUE,TRUE,2K,TRUE,51,0.19,19.95,Sony PSP,M,2006,Action,0,6.1
Superman Returns,TRUE,1,TRUE,TRUE,EA,TRUE,51,0.19,7.95,X360,E,2006,Action,21.71666667,7
Over G Fighters,TRUE,2,TRUE,TRUE,Ubisoft,TRUE,49,0.18,17.95,X360,E,2006,Simulation,0,0
Final Fantasy XI Online,TRUE,1,TRUE,TRUE,SquareEnix,TRUE,66,0.18,4.95,X360,E,2006,Action,0,0
Mystery Dungeon: Shiren the Wanderer,TRUE,1,TRUE,TRUE,Sega,TRUE,69,0.17,17.95,Nintendo DS,T,2006,Action,44,22
Phoenix Wright: Ace Attorney - Justice for All,TRUE,1,TRUE,TRUE,Capcom,TRUE,76,0.17,13.95,Nintendo DS,E,2006,Adventure,19.73333333,17.75
Justice League Heroes,TRUE,1,TRUE,TRUE,,TRUE,72,0.17,17.95,Sony PSP,M,2006,Action,21.1,5
Valhalla Knights,TRUE,1,TRUE,TRUE,,TRUE,53,0.17,16.95,Sony PSP,T,2006,Action,0,0
Genji: Days of the Blade,TRUE,1,TRUE,TRUE,Sony,TRUE,55,0.17,14.95,PlayStation 3,T,2006,Action,0,13.33333333
Top Spin 2,TRUE,4,TRUE,TRUE,2K,TRUE,75,0.16,12.95,X360,T,2006,Sports,0,10
Field Commander,TRUE,2,TRUE,TRUE,"Sony,Ubisoft",TRUE,77,0.16,14.95,Sony PSP,T,2006,Strategy,0,13.88333333
Children of Mana,TRUE,1,TRUE,TRUE,"Nintendo,SquareEnix",TRUE,65,0.16,16.95,Nintendo DS,E,2006,Action,27.95,17.68333333
Valkyrie Profile: Lenneth,TRUE,1,TRUE,TRUE,SquareEnix,TRUE,80,0.16,22.95,Sony PSP,E,2006,Role-Playing,48.76666667,33.18333333
Monster House,TRUE,1,TRUE,TRUE,THQ,TRUE,62,0.15,14.95,Nintendo DS,M,2006,Action,6.666666667,0
Enchanted Arms,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,69,0.15,17.95,X360,E,2006,Role-Playing,52.4,22.48333333
NHL 07,TRUE,4,TRUE,TRUE,EA,TRUE,76,0.14,12.95,Sony PSP,M,2006,Sports,8,10
Bust-a-Move Deluxe,TRUE,2,TRUE,TRUE,,TRUE,73,0.14,14.95,Sony PSP,M,2006,Strategy,0,0
Full Auto 2: Battlelines,TRUE,2,TRUE,TRUE,Sega,TRUE,67,0.14,14.95,PlayStation 3,T,2006,Action,12.5,8.75
Blitz: The League,TRUE,2,TRUE,TRUE,Midway,TRUE,69,0.14,14.95,X360,T,2006,Sports,0,15
Star Trek Legacy,TRUE,2,TRUE,TRUE,Ubisoft,TRUE,64,0.14,24.95,X360,E,2006,Action,9,9.4
Eragon,TRUE,1,TRUE,TRUE,,TRUE,63,0.14,16.95,Nintendo DS,E,2006,Action,11.66666667,5.433333333
Master of Illusion,TRUE,1,TRUE,TRUE,Nintendo,TRUE,69,0.14,14.95,Nintendo DS,E,2006,Strategy,4.1,0
Mega Man ZX,TRUE,1,TRUE,TRUE,Capcom,TRUE,76,0.14,19.95,Nintendo DS,T,2006,Action,15.96666667,8.883333333
Untold Legends: The Warrior's Code,TRUE,1,TRUE,TRUE,"Sony,Ubisoft",TRUE,65,0.14,14.95,Sony PSP,T,2006,Action,0,0
Super Swing Golf,TRUE,1,TRUE,TRUE,,TRUE,72,0.14,16.95,Nintendo Wii,T,2006,Sports,0,0
X-Men: The Official Game,TRUE,1,TRUE,TRUE,Activision,TRUE,52,0.14,14.95,X360,M,2006,Action,11.31666667,12.5
Untold Legends: Dark Kingdom,TRUE,2,TRUE,TRUE,"EA,Sony",TRUE,58,0.13,16.95,PlayStation 3,E,2006,Action,28,0
Happy Feet,TRUE,2,TRUE,TRUE,Midway,TRUE,46,0.13,14.95,Nintendo Wii,E,2006,Action,0,0.666666667
Open Season,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,72,0.13,17.95,Nintendo DS,T,2006,Action,7.616666667,3.666666667
Dungeon Siege: Throne of Agony,TRUE,1,TRUE,TRUE,2K,TRUE,74,0.13,24.95,Sony PSP,E,2006,Role-Playing,16.83333333,17.21666667
LocoRoco,TRUE,1,TRUE,TRUE,Sony,TRUE,83,0.13,17.95,Sony PSP,T,2006,Action,18.66666667,5.4
Dead or Alive: Xtreme 2,TRUE,1,TRUE,TRUE,,TRUE,53,0.13,14.95,X360,T,2006,Racing,0,1
Fuzion Frenzy 2,TRUE,4,TRUE,TRUE,Microsoft,TRUE,49,0.12,14.95,X360,T,2006,Action,9,1.75
MotoGP '06,TRUE,4,TRUE,TRUE,THQ,TRUE,80,0.12,14.95,X360,M,2006,Racing,0,0
Lumines II,TRUE,2,TRUE,TRUE,,TRUE,81,0.12,14.95,Sony PSP,E,2006,Strategy,0,15
Major League Baseball 2K6,TRUE,1,TRUE,TRUE,2K,TRUE,69,0.12,4.95,Sony PSP,M,2006,Sports,7.65,0
Star Wars: Lethal Alliance,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,61,0.12,17.95,Sony PSP,T,2006,Action,0,5.666666667
Worms: Open Warfare,TRUE,1,TRUE,TRUE,THQ,TRUE,70,0.12,17.95,Sony PSP,T,2006,Action,10,8.25
Eragon,TRUE,4,TRUE,TRUE,,TRUE,59,0.11,14.95,Sony PSP,E,2006,Action,11.66666667,5.433333333
Metal Slug Anthology,TRUE,4,TRUE,TRUE,,TRUE,73,0.11,16.95,Nintendo Wii,T,2006,Action,8.5,6.666666667
Open Season,TRUE,4,TRUE,TRUE,Ubisoft,TRUE,59,0.11,14.95,X360,E,2006,Action,7.616666667,3.666666667
Tom Clancy's Splinter Cell: Double Agent,TRUE,2,TRUE,TRUE,Ubisoft,TRUE,61,0.11,17.95,Nintendo Wii,T,2006,Action,17.36666667,11.61666667
Avatar: The Last Airbender,TRUE,1,TRUE,TRUE,THQ,TRUE,57,0.11,17.95,Sony PSP,E,2006,Action,4.066666667,5.333333333
Lemmings,TRUE,1,TRUE,TRUE,Sony,TRUE,76,0.11,17.95,Sony PSP,E,2006,Strategy,13.6,20.46666667
Mega Man Powered Up,TRUE,1,TRUE,TRUE,Capcom,TRUE,82,0.11,16.95,Sony PSP,E,2006,Action,0,2.783333333
College Hoops 2K6,TRUE,1,TRUE,TRUE,2K,TRUE,70,0.11,6.95,X360,E,2006,Sports,1.55,0
Dynasty Warriors 5: Empires,TRUE,2,TRUE,TRUE,,TRUE,61,0.1,14.95,X360,T,2006,Action,42.93333333,14.21666667
Magical Starsign,TRUE,1,TRUE,TRUE,Nintendo,TRUE,69,0.1,9.95,Nintendo DS,E,2006,Role-Playing,34,27.21666667
Resident Evil: Deadly Silence,TRUE,1,TRUE,TRUE,Capcom,TRUE,71,0.1,17.95,Nintendo DS,E,2006,Action,10.28333333,5.983333333
X-Men: The Official Game,TRUE,1,TRUE,TRUE,Activision,TRUE,50,0.1,14.95,Nintendo DS,E,2006,Action,11.31666667,12.5
Cabela's African Safari,TRUE,1,TRUE,TRUE,Activision,TRUE,53,0.1,17.95,X360,E,2006,Sports,0,0
Cabela's Alaskan Adventures,TRUE,1,TRUE,TRUE,Activision,TRUE,48,0.1,17.95,X360,E,2006,Sports,20,0
Armored Core 4,TRUE,2,TRUE,TRUE,Sega,TRUE,65,0.09,19.95,PlayStation 3,E,2006,Action,0,23
Eragon,TRUE,2,TRUE,TRUE,,TRUE,48,0.09,12.95,X360,T,2006,Action,11.66666667,5.433333333
LostMagic,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,68,0.09,14.95,Nintendo DS,T,2006,Action,13.55,13
Magnetica,TRUE,1,TRUE,TRUE,Nintendo,TRUE,68,0.09,17.95,Nintendo DS,T,2006,Action,0,9.933333333
Def Jam Fight for NY: The Takeover,TRUE,1,TRUE,TRUE,EA,TRUE,79,0.09,17.95,Sony PSP,T,2006,Action,0,5.133333333
NASCAR 07,TRUE,1,TRUE,TRUE,EA,TRUE,66,0.09,24.95,Sony PSP,T,2006,Racing,0,0
The Ant Bully,TRUE,1,TRUE,TRUE,Midway,TRUE,45,0.09,16.95,Nintendo Wii,T,2006,Action,0,3.566666667
Just Cause,TRUE,1,TRUE,TRUE,Eidos,TRUE,73,0.09,16.95,X360,E,2006,Action,29.5,8.6
Onechanbara: Bikini Samurai Squad,TRUE,1,TRUE,TRUE,,TRUE,39,0.09,19.95,X360,E,2006,Action,44.11666667,5.7
Phantasy Star Universe,TRUE,1,TRUE,TRUE,Sega,TRUE,64,0.09,24.95,X360,E,2006,Role-Playing,55.5,27.73333333
Project Sylpheed: Arc of Deception,TRUE,1,TRUE,TRUE,"Microsoft,SquareEnix",TRUE,64,0.09,14.95,X360,T,2006,Action,0,5.8
Winning Eleven: Pro Evolution Soccer 2007,TRUE,6,TRUE,TRUE,Konami,TRUE,80,0.08,11.95,X360,E,2006,Sports,64,10
Kororinpa: Marble Mania,TRUE,2,TRUE,TRUE,Nintendo,TRUE,69,0.08,17.95,Nintendo Wii,T,2006,Action,0,0
Digimon World DS,TRUE,1,TRUE,TRUE,Namco,TRUE,49,0.08,27.95,Nintendo DS,E,2006,Role-Playing,37,21.18333333
Justice League Heroes,TRUE,1,TRUE,TRUE,,TRUE,43,0.08,17.95,Nintendo DS,E,2006,Action,21.1,5
Innocent Life: A Futuristic Harvest Moon,TRUE,1,TRUE,TRUE,,TRUE,67,0.08,17.95,Sony PSP,E,2006,Role-Playing,0,0
Power Stone Collection,TRUE,1,TRUE,TRUE,Capcom,TRUE,74,0.08,14.95,Sony PSP,M,2006,Action,0,0
EA Replay,TRUE,4,TRUE,TRUE,EA,TRUE,56,0.07,14.95,Sony PSP,E,2006,Action,0,0
Open Season,TRUE,4,TRUE,TRUE,Ubisoft,TRUE,49,0.07,17.95,Nintendo Wii,M,2006,Action,7.616666667,3.666666667
Samurai Warriors 2,TRUE,4,TRUE,TRUE,,TRUE,52,0.07,14.95,X360,M,2006,Action,53.36666667,30
Far Cry: Vengeance,TRUE,2,TRUE,TRUE,Ubisoft,TRUE,38,0.07,16.95,Nintendo Wii,E,2006,Action,0,0
Import Tuner Challenge,TRUE,2,TRUE,TRUE,Ubisoft,TRUE,54,0.07,17.95,X360,E,2006,Racing,40,25
Contact,TRUE,1,TRUE,TRUE,,TRUE,73,0.07,14.95,Nintendo DS,E,2006,Adventure,21.38333333,11.75
Touch Detective,TRUE,1,TRUE,TRUE,,TRUE,60,0.07,14.95,Nintendo DS,T,2006,Adventure,8.35,5.983333333
FIFA Street 2,TRUE,1,TRUE,TRUE,EA,TRUE,58,0.07,17.95,Sony PSP,T,2006,Sports,31.78333333,19.5
007: From Russia with Love,TRUE,1,TRUE,TRUE,EA,TRUE,61,0.07,17.95,Sony PSP,T,2006,Action,0,6.333333333
PaRappa the Rapper,TRUE,1,TRUE,TRUE,Sony,TRUE,67,0.07,12.95,Sony PSP,T,2006,Action,3.3,1.3
Riviera: The Promised Land,TRUE,1,TRUE,TRUE,,TRUE,68,0.07,17.95,Sony PSP,M,2006,Role-Playing,0,24.1
Samurai Warriors: State of War,TRUE,1,TRUE,TRUE,,TRUE,64,0.07,17.95,Sony PSP,E,2006,Action,0,10.5
Viewtiful Joe: Red Hot Rumble,TRUE,1,TRUE,TRUE,Capcom,TRUE,63,0.07,14.95,Sony PSP,E,2006,Action,0,4.8
Ice Age 2: The Meltdown,TRUE,1,TRUE,TRUE,,TRUE,66,0.07,17.95,Nintendo Wii,E,2006,Action,0,5
Rumble Roses XX,TRUE,4,TRUE,TRUE,Konami,TRUE,62,0.06,17.95,X360,E,2006,Action,127,0
Bionicle Heroes,TRUE,1,TRUE,TRUE,Eidos,TRUE,72,0.06,16.95,Nintendo DS,T,2006,Action,17.23333333,8.55
Deep Labyrinth,TRUE,1,TRUE,TRUE,,TRUE,57,0.06,10.95,Nintendo DS,T,2006,Role-Playing,0,13.56666667
Blade Dancer: Lineage of Light,TRUE,1,TRUE,TRUE,,TRUE,60,0.06,16.95,Sony PSP,E,2006,Role-Playing,28.35,29.75
Every Extend Extra,TRUE,1,TRUE,TRUE,,TRUE,74,0.06,11.95,Sony PSP,E,2006,Action,0,12
Ultimate Ghosts 'N' Goblins,TRUE,1,TRUE,TRUE,Capcom,TRUE,72,0.06,17.95,Sony PSP,E,2006,Action,12.95,3.333333333
Xiaolin Showdown,TRUE,1,TRUE,TRUE,Konami,TRUE,44,0.06,14.95,Sony PSP,M,2006,Action,16.38333333,6
Bionicle Heroes,TRUE,1,TRUE,TRUE,Eidos,TRUE,59,0.06,14.95,X360,T,2006,Action,17.23333333,8.55
Bullet Witch,TRUE,1,TRUE,TRUE,Atari,TRUE,55,0.06,16.95,X360,M,2006,Action,15,6.266666667
Death Jr. II: Root of Evil,TRUE,2,TRUE,TRUE,Konami,TRUE,68,0.05,14.95,Sony PSP,E,2006,Action,0,6.016666667
Alex Rider: Stormbreaker,TRUE,1,TRUE,TRUE,THQ,TRUE,48,0.05,12.95,Nintendo DS,M,2006,Action,6.5,0
Cartoon Network Racing,TRUE,1,TRUE,TRUE,,TRUE,55,0.05,14.95,Nintendo DS,E,2006,Racing,14.86666667,0
Guilty Gear: Dust Strikers,TRUE,1,TRUE,TRUE,,TRUE,60,0.05,14.95,Nintendo DS,E,2006,Action,0,0.316666667
Gunpey DS,TRUE,1,TRUE,TRUE,Namco,TRUE,70,0.05,12.95,Nintendo DS,E,2006,Strategy,8,0
Lara Croft Tomb Raider: Legend,TRUE,1,TRUE,TRUE,Eidos,TRUE,58,0.05,17.95,Nintendo DS,E,2006,Action,15.85,7.766666667
Worms: Open Warfare,TRUE,1,TRUE,TRUE,THQ,TRUE,64,0.05,17.95,Nintendo DS,E,2006,Action,10,8.25
Mercury Meltdown,TRUE,1,TRUE,TRUE,,TRUE,78,0.05,12.95,Sony PSP,M,2006,Strategy,0,0
MTX Mototrax,TRUE,1,TRUE,TRUE,Activision,TRUE,67,0.05,19.95,Sony PSP,M,2006,Racing,0,0
Snoopy vs. the Red Baron,TRUE,1,TRUE,TRUE,Namco,TRUE,76,0.05,17.95,Sony PSP,E,2006,Action,0,6
